Run,UnixTime_midRun,runduration,Activity_mBq_per_m3,Uncertainty_mBq_per_m3,A_fit_T_cont,SE_A_fit_T_const, A_stat, SE_A_stat, Chi2,Ndf,Prob,TotEntry,mean_alpha_range,SE_mean_alpha_range
3165,1757713568,39895.000,62.866422784,1.834576750,62.856490336,1.779972477,62.144481912,1.724905176,37.450465984,47,0.839115230,1298,246.0939256789,1.9387678801
3166,1757755912,43201.000,60.883782373,1.693558653,60.540903084,1.673050250,60.085821822,1.629904944,41.069997237,47,0.715611543,1359,248.6935531684,1.9622829176
3169,1757800278,43201.000,59.663280721,1.742486838,60.231433678,1.690889201,60.395314650,1.634097248,56.920407467,47,0.152289954,1366,247.6777421042,1.8825030572
3173,1757887849,43201.000,55.638026217,1.660241448,55.794591884,1.623713961,55.797135496,1.570660154,50.681158245,47,0.330477967,1262,249.9657300114,1.9837058251
3174,1757919210,19501.600,54.077197269,2.617180128,53.336706176,2.450838578,53.477210713,2.288613343,50.021827709,47,0.354310513,546,253.0862621393,2.9533386691
3190,1757972009,39175.000,61.432814515,1.775633747,61.271512693,1.760177569,60.848787525,1.722442117,47.487679580,47,0.452677757,1248,248.6907932486,2.0416523399
3191,1758013882,43201.000,61.994644468,1.723720000,61.695741943,1.688013847,61.058513566,1.643044735,55.703261530,47,0.179990010,1381,245.3660000730,2.0151110304
3194,1758054112,34730.000,59.881599517,1.954992164,60.201159499,1.899231259,60.497057345,1.824054910,57.192343446,47,0.146559269,1100,246.5863517312,2.1767241418
3196,1758104145,40636.700,61.297637695,1.855637495,61.956600132,1.782268411,62.279310264,1.710944236,53.831589345,47,0.229300506,1325,245.4914645438,1.9358584093
3199,1758145851,37442.000,63.153162885,1.979049010,63.149278722,1.918682386,64.277333913,1.810808741,54.023546794,47,0.223864871,1260,244.7187327129,2.0473972900
3200,1758186057,40984.000,74.180337607,1.887317392,74.158236157,1.867727491,73.029949828,1.844873124,70.986649520,47,0.013463837,1567,244.3942460937,1.7856346428
3203,1758229279,43201.000,82.537491086,1.994238607,82.367498378,1.967693591,82.192452367,1.906304371,40.951267174,47,0.720139554,1859,241.5380805097,1.6132331086
3204,1758272239,42697.400,82.034988799,2.101635987,82.992666429,2.017829688,83.385555565,1.931380635,61.148430335,47,0.080540147,1864,243.3842314954,1.6858210080
3207,1758316147,42888.000,59.682141631,1.801281235,59.809113191,1.728262225,60.301653215,1.638777100,33.229606635,47,0.935529051,1354,245.7421623217,2.0198030549
3209,1758361100,36810.900,38.488574833,1.408700495,38.790019263,1.404925159,38.034165117,1.404823942,40.719126366,47,0.728915520,733,251.7178618537,2.5642395944
3212,1758397067,32699.000,25.961053373,1.280278999,26.178448663,1.260648936,26.110753243,1.234996250,44.868067206,47,0.561279857,447,251.0254802849,3.2162493774
3213,1758431068,33299.700,23.641139441,1.159622764,23.811340492,1.158821829,23.402712147,1.158606897,36.878621767,47,0.855389136,408,246.7453517687,3.7155321406
3214,1758461431,27384.400,21.037251785,1.363156540,21.436298477,1.305566678,21.901444874,1.235970038,50.178924489,47,0.348556738,314,262.0593152242,4.1164404122
3217,1758497838,43201.000,20.620961896,0.993612386,20.317818904,0.982488844,20.249673579,0.946205107,39.469426591,47,0.774208698,458,249.1459532860,3.4704872437
3218,1758529518,20134.700,19.023109712,1.387664494,19.067343494,1.374611721,19.067653134,1.344928554,46.322192845,47,0.500533129,201,251.2299728812,5.3412066436
3238,1758584198,24854.000,15.175444314,1.183349385,15.115950181,1.118924681,14.909112252,1.070411878,36.645621376,47,0.861736549,194,252.1338759034,5.3233545916
3239,1758618953,43201.000,16.890817780,0.857377496,16.694246250,0.895979720,16.624186170,0.857326941,38.024258952,47,0.821815611,376,253.6128444273,3.6284754951
3242,1758663296,43201.000,21.665691140,0.968852025,21.621143201,1.017173098,21.222365323,0.968664018,41.721939508,47,0.690307894,480,255.5922975798,3.2779871549
3243,1758706506,43201.000,28.401740500,1.169602672,28.326969285,1.156199364,28.340700359,1.119390363,35.363819647,47,0.893655984,641,251.0506148325,2.8338017940
3246,1758749218,39918.000,33.622471668,1.354548008,33.833685011,1.324924115,34.116706921,1.277680715,47.431574043,47,0.454953378,713,245.5506264795,2.7484228254
3248,1758812885,18160.300,38.685365160,2.270205709,39.480706635,2.145414250,39.546784289,2.039469677,50.772053670,47,0.327258908,376,241.3012016292,3.7249158361
3251,1758836876,27463.000,35.480711562,1.779361325,35.397103626,1.689018856,35.957452454,1.581406951,35.246910944,47,0.896312577,517,257.9625502952,2.9996779303
3253,1758879854,6519.000,39.456272171,3.733025331,40.885646816,3.610425459,41.312785707,3.479164185,38.339700519,47,0.811904243,141,248.8918174367,6.1130156989
3256,1758920327,43201.000,43.253902455,1.494221775,43.706472216,1.441011123,43.594275435,1.388324559,44.055988589,47,0.595237632,986,253.6507975870,2.2505901613
3257,1758942546,1216.000,71.734779282,65.481357176,46.132434301,12.762566078,40.840036515,8.009390120,30.362576085,47,0.971504228,26,249.3378225485,13.7339546017
3258,1758965343,43201.000,44.437820065,1.506512790,44.872987718,1.454568052,44.832246746,1.407899084,64.016854927,47,0.049863649,1014,248.9541871416,2.2665981587
3261,1759009677,43201.000,45.588117683,1.502696999,45.582042844,1.472468295,45.628085445,1.420340260,60.259643906,47,0.092734400,1032,249.0079293420,2.1986711142
3262,1759052887,43201.000,44.267416688,1.602245359,43.993065151,1.516733398,44.876460007,1.408593143,49.758477906,47,0.364057583,1015,250.5188360306,2.2173987312
3267,1759086640,21945.000,44.391751068,2.169827784,44.566486686,2.106170532,45.521069005,1.990497369,57.619734130,47,0.137882692,523,252.0472493900,3.1910989286
3269,1759147191,22355.000,51.619035702,2.216344495,51.841039863,2.158800478,51.436115840,2.096379577,43.183319995,47,0.631393343,602,251.3872775854,3.1290718178
3284,1759192083,20517.000,47.746613836,2.183960490,47.893995151,2.144597706,47.199831644,2.096218116,37.424403317,47,0.839878178,507,252.7857808051,3.3347298926
3285,1759222523,39015.500,49.913942082,1.553856079,49.678218388,1.627840787,49.152191328,1.551229403,40.397499729,47,0.740897492,1004,246.0087623818,2.2958915666
3290,1759329145,24193.100,52.638237337,2.095572853,53.014560214,2.073103202,52.738927120,2.040530353,47.781405838,47,0.440820379,668,249.3516948844,2.7976439583
3293,1759359145,32026.000,49.117361129,1.688415299,47.417650807,1.809694013,47.772301598,1.687951281,53.225487416,47,0.247028397,801,249.8315921578,2.5385499486
3294,1759410949,29932.600,52.687460805,2.071732985,52.780180050,1.959675700,53.282964799,1.843933032,51.104014805,47,0.315644504,835,247.6570435686,2.4965373924
3298,1759410949,29932.600,-0.003190597,0.000000000,-0.003190597,53.426396400,0.000000000,0.000000000,0.000000000,47,1.000000000,0,0.0000000000,0.0000000000
3299,1759488252,34736.800,51.809648763,1.826436438,52.430816067,1.769806430,52.787096355,1.703696209,51.976301732,47,0.286227461,960,249.2470800482,2.2956508395
3302,1759516295,18975.000,52.206165431,2.454216685,51.934199297,2.410135610,52.444782352,2.297647631,41.479054019,47,0.699818270,521,253.2719436194,3.2920586700
3306,1759615026,43201.000,50.298062422,1.624189951,51.091566461,1.550327209,50.801036993,1.498692601,62.365871224,47,0.066006454,1149,249.9755325967,2.1108967009
3307,1759658236,43201.000,47.474013151,1.609222170,46.692770010,1.556767874,47.529255672,1.449628708,45.542224918,47,0.533047302,1075,250.7906874839,2.2283663453
3308,1759688923,18153.300,45.788985389,2.449327919,44.906019274,2.291067136,44.717724285,2.169128242,32.189006994,47,0.951069266,425,245.4230266934,3.5400813198
3311,1759721101,43201.000,43.131809193,1.440025419,43.284404646,1.409893544,42.754223475,1.374883139,62.815350714,47,0.061227156,967,248.1102074074,2.4173662447
3312,1759748891,12360.000,42.058842316,2.609484905,42.324360474,2.585263576,42.033618861,2.548662506,45.145767464,47,0.549645535,272,243.3363520739,4.2756988400
3332,1759813454,43201.000,41.928859034,1.444091905,42.078080111,1.417052122,42.356304125,1.368470070,45.178016514,47,0.548294601,958,252.9104420833,2.2938760018
3333,1759840654,11175.700,46.372549683,3.030813740,46.347464184,2.798364328,45.804316576,2.797943953,42.621909643,47,0.654325190,268,244.1806252959,4.2412398812
3336,1759840654,11175.700,-0.008545581,0.000000000,-0.008545581,143.095372359,0.000000000,0.000000000,0.000000000,47,1.000000000,0,0.0000000000,0.0000000000
3337,1759912133,41400.900,47.383855665,1.562464458,47.373463422,1.532734610,47.427439765,1.479221205,49.390588713,47,0.377879576,1028,247.1595623075,2.2682945146
3340,1759955559,43201.000,47.248780701,1.591640158,47.295687021,1.536819311,47.882961761,1.455012677,48.851743972,47,0.398531853,1083,249.5443726598,2.2612647310
3341,1759978054,1767.000,42.782522366,9.163516544,39.615290502,7.373019599,41.076496610,6.663487655,26.767970654,47,0.992315106,38,236.8669551927,11.2849993320
3342,1759999599,37800.700,52.823351039,1.709554025,53.090393812,1.674455665,52.854040233,1.634226877,32.546416080,47,0.946072497,1046,249.8075505659,2.1825355469
3345,1760041201,43201.000,51.820763454,1.619946115,51.486447373,1.552990293,50.889463515,1.499996379,53.601501316,47,0.235929530,1151,246.8763786541,2.0774849138
3346,1760084412,43201.000,51.947716521,1.727046682,52.802084635,1.623914386,53.232766353,1.534142822,49.707268950,47,0.365967410,1204,247.5754941345,2.0760782344
